2018-02-27 16:45:16.288 [localhost-startStop-1] INFO  org.hibernate.annotations.common.Version -HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2018-02-27 16:45:16.431 [localhost-startStop-1] INFO  com.alibaba.druid.pool.DruidDataSource -{dataSource-1} inited
2018-02-27 16:45:16.585 [localhost-startStop-1] INFO  org.hibernate.dialect.Dialect -HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2018-02-27 16:45:17.055 [localhost-startStop-1] INFO  org.hibernate.tool.hbm2ddl.SchemaUpdate -HHH000228: Running hbm2ddl schema update
2018-02-27 16:45:17.359 [localhost-startStop-1] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean -Initialized JPA EntityManagerFactory for persistence unit 'default'
2018-02-27 16:45:17.825 [localhost-startStop-1] INFO  o.h.hql.internal.QueryTranslatorFactoryInitiator -HHH000397: Using ASTQueryTranslatorFactory
2018-02-27 16:45:19.320 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean -Mapping filter: 'characterEncodingFilter' to: [/*]
2018-02-27 16:45:19.320 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean -Mapping filter: 'springSessionRepositoryFilter' to: [/*]
2018-02-27 16:45:19.320 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean -Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2018-02-27 16:45:19.321 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean -Mapping filter: 'httpPutFormContentFilter' to: [/*]
2018-02-27 16:45:19.321 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean -Mapping filter: 'requestContextFilter' to: [/*]
2018-02-27 16:45:19.322 [localhost-startStop-1] INFO  o.s.b.w.s.DelegatingFilterProxyRegistrationBean -Mapping filter: 'springSecurityFilterChain' to: [/*]
2018-02-27 16:45:19.322 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean -Mapping filter: 'webStatFilter' to urls: [/*]
2018-02-27 16:45:19.322 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean -Mapping filter: 'myFilterSecurityInterceptor' to: [/*]
2018-02-27 16:45:19.322 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean -Mapping filter: 'mySecurityFilter' to: [/*]
2018-02-27 16:45:19.322 [localhost-startStop-1] INFO  o.s.boot.web.servlet.ServletRegistrationBean -Mapping servlet: 'statViewServlet' to [/druid/*]
2018-02-27 16:45:19.323 [localhost-startStop-1] INFO  o.s.boot.web.servlet.ServletRegistrationBean -Mapping servlet: 'dispatcherServlet' to [/]
2018-02-27 16:45:20.596 [restartedMain] INFO  org.springframework.aop.framework.CglibAopProxy -Unable to proxy method [java.util.List springfox.documentation.schema.property.OptimizedModelPropertiesProvider.candidateProperties(com.fasterxml.classmate.ResolvedType,com.fasterxml.jackson.databind.introspect.AnnotatedMember,com.fasterxml.jackson.databind.introspect.BeanPropertyDefinition,springfox.documentation.spi.schema.contexts.ModelContext)] because it is package-visible across different ClassLoaders: All calls to this method via a proxy will NOT be routed to the target instance.
2018-02-27 16:45:20.862 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/app/logout],methods=[GET]}" onto public com.personal.entity.dto.ResultBean<java.lang.Boolean> com.personal.controller.AppController.logout(javax.servlet.http.HttpSession)
2018-02-27 16:45:20.865 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/cache/names],methods=[GET]}" onto public com.personal.entity.dto.ResultBean<java.util.Collection<java.lang.String>> com.personal.controller.CacheController.index()
2018-02-27 16:45:20.866 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/cache/clear],methods=[POST]}" onto public com.personal.entity.dto.ResultBean<java.lang.Boolean> com.personal.controller.CacheController.clear(java.lang.String)
2018-02-27 16:45:20.866 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/cache/clearAll],methods=[POST]}" onto public com.personal.entity.dto.ResultBean<java.lang.Boolean> com.personal.controller.CacheController.clearAll()
2018-02-27 16:45:20.867 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/session],methods=[GET]}" onto public java.lang.String com.personal.controller.CommonController.uid(javax.servlet.http.HttpServletRequest)
2018-02-27 16:45:20.867 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/getKaptchaImage],methods=[GET]}" onto public void com.personal.controller.CommonController.getKaptchaImage(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.lang.Exception
2018-02-27 16:45:20.867 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/getGifCode],methods=[GET]}" onto public void com.personal.controller.CommonController.getGifCode(javax.servlet.http.HttpServletResponse,javax.servlet.http.HttpServletRequest)
2018-02-27 16:45:20.867 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/sendMail],methods=[GET]}" onto public void com.personal.controller.CommonController.sendSimpleMail() throws java.lang.Exception
2018-02-27 16:45:20.868 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/error]}" onto public java.lang.String com.personal.controller.ErrorHandlerController.handleError()
2018-02-27 16:45:20.868 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/helloHtml],methods=[GET]}" onto public java.lang.String com.personal.controller.HtmlController.helloHtml(org.springframework.ui.Model)
2018-02-27 16:45:20.868 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/hello],methods=[GET]}" onto public java.lang.String com.personal.controller.HtmlController.hello(org.springframework.ui.Model) throws java.lang.Exception
2018-02-27 16:45:20.869 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/]}" onto public java.lang.String com.personal.controller.SecurityController.index(org.springframework.ui.Model)
2018-02-27 16:45:20.869 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/index],methods=[GET]}" onto public java.lang.String com.personal.controller.SecurityController.index()
2018-02-27 16:45:20.869 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/login]}" onto public java.lang.String com.personal.controller.SecurityController.login()
2018-02-27 16:45:20.869 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/uploads],methods=[POST]}" onto public java.lang.String com.personal.controller.UploadController.uploads(javax.servlet.http.HttpServletRequest,org.springframework.web.multipart.MultipartFile[])
